,Name,No.,Links,Sign,Last,Chg%,Volume,Value (k),MCap (M),P/E,P/BV,D/E,DPS,EPS,ROA%,ROE%,NPM%,Yield%,FFloat%,MG%,Magic1,Magic2,PEG,CG,      rsi,Ema20,Ema50,Ema200
38,DMT,173.0,i | 1 | 3,,12.3,0.0,902700.0,11130.0,0.0,,-,,-,0.0,9.79,9.52,37.02,-,25.34,,,,,,,,,
39,DOHOME,175.0,i | 1 | 3,,25.75,-2.83,5503400.0,143148.0,62371.0,55.31,7.29,1.93,0.01,0.47,7.9,15.37,8.85,0.03,22.21,,612.0,689.0,345.69,,,,,
40,DRT,176.0,i | 1 | 2 | 3,,7.25,-2.68,2938400.0,21308.0,6199.0,10.6,2.91,0.76,0.22,0.68,20.6,25.66,14.72,5.64,34.59,,143.0,115.0,0.9,,,,,
41,DTAC,177.0,i | 1 | 2 | 3,,31.75,2.42,17459200.0,551269.0,75178.0,18.48,3.74,6.17,2.12,1.72,4.63,20.64,4.0,9.65,29.26,,329.0,627.0,-0.15,,,,,
42,EE,187.0,i | 1 | 2 | 3,,1.04,-2.8,11939900.0,12466.0,2891.0,61.96,1.96,0.11,,0.02,2.94,3.24,1120.38,,32.11,,952.0,944.0,-3.28,,,,,
43,EMC,191.0,i | 1 | 2 | 3,,0.29,0.0,64268200.0,18065.0,2446.0,29.16,1.16,0.47,,0.01,3.34,4.12,2.54,,30.99,,792.0,792.0,0.11,,,,,
44,EPG,193.0,i | 1 | 2 | 3,,13.0,0.78,45757400.0,595634.0,36400.0,29.86,3.30,0.38,0.19,0.44,8.95,11.3,12.54,2.17,25.9,,578.0,541.0,-7.51,,,,,
45,ESSO,195.0,i | 1 | 2 | 3,,7.4,-3.27,15869800.0,118900.0,25610.0,21.63,1.48,3.28,,0.34,2.75,7.25,7.1,,34.01,,621.0,753.0,0.71,,,,,
46,ETC,197.0,i | 1 | 3,,2.98,-1.97,15147900.0,45201.0,6675.0,30.89,2.57,0.57,,0.1,6.91,7.34,26.43,,33.85,,693.0,618.0,,,,,,
47,FORTH,207.0,i | 1 | 3,,12.0,-6.25,4545400.0,55474.0,11520.0,20.39,7.59,4.33,0.20,0.59,12.04,42.81,11.71,2.50,33.35,,276.0,385.0,2.37,,,,,
48,FSMART,210.0,i | 1 | 2 | 3,,10.8,-2.7,3523600.0,37763.0,8640.0,18.12,6.47,2.01,0.30,0.6,16.59,38.17,14.47,5.41,34.77,,251.0,287.0,1.28,,,,,
49,GJS,222.0,i | 1 | 2 | 3,,0.32,0.0,29665100.0,9507.0,8156.0,57.83,0.63,0.17,,0.01,2.52,1.1,7.7,,30.71,,1000.0,962.0,-0.02,,,,,
50,GLOBAL,225.0,i | 1 | 2 | 3,,23.8,-1.24,9738600.0,231378.0,109520.0,47.5,5.83,1.11,0.19,0.5,8.44,13.37,11.01,0.73,32.11,,623.0,653.0,2.38,,,,,
51,GPSC,228.0,i | 1 | 2 | 3,,79.75,-0.62,21824900.0,1737063.0,224873.0,28.46,2.14,1.41,1.00,2.8,5.51,7.79,11.73,1.87,24.75,,663.0,680.0,0.83,,,,,
53,GULF,235.0,i | 1 | 2 | 3,,33.5,1.52,8514400.0,283547.0,393061.0,62.12,5.59,2.71,0.38,0.54,6.26,13.26,18.4,1.15,26.23,,661.0,770.0,5.07,,,,,
