,Name,No.,Links,Sign,Last,Chg%,Volume,Value (k),MCap (M),P/E,P/BV,D/E,DPS,EPS,ROA%,ROE%,NPM%,Yield%,FFloat%,MG%,Magic1,Magic2,PEG,CG,      rsi,Ema20,Ema50,Ema200
65,AU,65.0,i | 1 | 2 | 3,,10.4,1.96,1785500.0,18306.0,8482.0,157.31,9.81,0.53,0.06,0.07,5.3,6.45,6.48,0.59,33.41,,889.0,871.0,21.62,,,,,
66,AUCT,66.0,i | 1 | 2 | 3,,9.85,-1.5,2028700.0,20051.0,5418.0,22.1,9.38,2.51,0.23,0.45,18.57,48.82,29.1,4.10,28.77,,288.0,322.0,2.28,,,,,
67,AWC,67.0,i | 1 | 3,,3.82,-4.5,121575400.0,470840.0,122240.0,,1.58,0.75,,0.0,-1.49,-3.42,-53.87,,24.97,,,,,,,,,
68,AYUD,68.0,i | 1 | 2 | 3,,34.25,0.74,2700.0,93.0,13332.0,13.35,0.83,0.44,,2.57,3.41,6.16,20.8,4.47,28.17,,539.0,605.0,0.36,,,,,
75,BAY,75.0,i | 1 | 3,,29.25,-1.68,1622100.0,47075.0,215156.0,9.56,0.73,8.07,0.35,3.06,2.05,7.95,23.82,1.18,23.12,,387.0,590.0,1.47,,,,,
77,BC,77.0,i | 1 | 3,,2.14,-6.14,12518500.0,27279.0,1085.0,,1.45,3.85,,0.0,-5.8,-19.5,-264.18,,30.74,,,,,,,,,
80,BCPG,80.0,i | 1 | 2 | 3,,14.0,-0.71,11688100.0,163998.0,36992.0,19.87,1.56,1.28,0.17,0.7,5.57,9.59,48.83,2.06,24.61,,530.0,594.0,2.82,,,,,
81,BCT,81.0,i | 1 | 2 | 3,,44.25,0.57,2700.0,117.0,13275.0,12.81,0.64,0.04,0.80,3.45,5.52,5.07,18.86,1.82,22.62,,561.0,484.0,-0.16,,,,,
86,BFIT,86.0,i | 1 | 2 | 3,,36.0,-2.04,837400.0,30236.0,19845.0,13.2,2.00,1.04,1.40,2.73,10.28,16.42,51.37,3.81,17.96,,294.0,319.0,0.17,,,,,
87,BGC,87.0,i | 1 | 3,,11.5,-2.54,9710100.0,110476.0,7986.0,14.85,1.50,2.31,0.13,0.77,4.57,10.28,6.47,3.90,27.41,,440.0,579.0,7.33,,,,,
91,BIG,91.0,i | 1 | 2 | 3,,0.61,-1.61,11390000.0,6903.0,2153.0,173.54,1.27,0.68,,0.0,0.89,0.71,-3.75,,30.59,,1057.0,1084.0,-7.92,,,,,
92,BIZ,92.0,i | 1 | 2 | 3,,9.6,-2.04,2671000.0,25625.0,3840.0,34.63,6.27,2.74,0.15,0.28,7.73,19.86,15.12,1.53,24.41,,492.0,625.0,8.41,,,,,
93,BJC,93.0,i | 1 | 2 | 3,,33.25,-0.75,3571800.0,118878.0,133259.0,35.68,1.15,1.8,0.60,0.93,3.05,3.27,3.18,2.33,25.57,,867.0,855.0,2.72,,,,,
94,BJCHI,94.0,i | 1 | 2 | 3,,1.99,-0.5,1402700.0,2755.0,3183.0,,0.95,0.17,0.03,0.0,-5.32,-6.03,16.56,1.50,24.75,,,,,,,,,
95,BKD,95.0,i | 1 | 2 | 3,,2.2,1.85,26600.0,58.0,2368.0,,1.73,0.23,,0.0,-4.09,-4.73,22.6,,26.64,,,,,,,,,
101,BOL,101.0,i | 1 | 2 | 3,,9.4,-1.57,473200.0,4479.0,7713.0,40.36,11.46,0.41,0.12,0.23,21.87,29.43,33.1,2.04,29.66,,448.0,435.0,1.65,,,,,
102,BPP,102.0,i | 1 | 2 | 3,,18.2,3.41,12255600.0,221831.0,55469.0,14.75,1.28,0.18,0.35,1.23,8.3,8.89,51.11,3.69,21.18,,474.0,395.0,-11.24,,,,,
104,BROCK,104.0,i | 1 | 2 | 3,,1.64,0.61,13900.0,23.0,1681.0,43.48,1.33,0.04,0.02,0.04,4.31,3.08,15.57,1.23,15.87,,905.0,830.0,0.48,,,,,
105,BROOK,105.0,i | 1 | 2 | 3,,0.59,-3.28,55801800.0,33157.0,4855.0,8.75,1.59,0.04,0.02,0.07,20.42,22.61,68.83,6.62,30.38,,134.0,85.0,,,,,,
106,BRR,106.0,i | 1 | 2 | 3,,6.3,-2.33,267000.0,1704.0,5116.0,31.69,2.51,3.67,0.06,0.2,5.03,8.24,16.88,0.93,24.69,,678.0,736.0,-1.2,,,,,
107,BSBM,107.0,i | 1 | 2 | 3,,1.42,-2.07,1506700.0,2158.0,1592.0,17.32,0.82,0.02,0.04,0.08,5.78,4.76,7.38,5.52,31.1,,641.0,539.0,-0.21,,,,,
109,BTNC,109.0,i | 1 | 2 | 3,,10.9,0.0,0.0,0.0,131.0,,0.34,0.58,,0.0,-3.04,-4.53,-12.93,,29.51,,,,,,,,,
111,BTW,111.0,i | 1 | 2 | 3,,1.18,-2.48,2761200.0,3288.0,892.0,54.81,0.78,0.53,0.02,0.02,2.19,1.43,-3.91,1.65,34.09,,984.0,970.0,0.35,,,,,
112,BUI,112.0,i | 1 | 3,,14.4,0.7,1200.0,17.0,432.0,6.47,0.58,1.47,0.25,2.22,4.56,9.48,18.68,1.75,28.43,,300.0,417.0,0.08,,,,,
115,CBG,115.0,i | 1 | 2 | 3,,151.5,0.0,4514900.0,681010.0,151500.0,44.24,14.57,0.7,1.50,3.42,23.68,36.83,17.11,1.58,28.85,,449.0,445.0,1.45,,,,,
116,CCET,116.0,i | 1 | 2 | 3,,3.18,-3.05,10791900.0,34721.0,15762.0,76.3,0.89,3.03,0.01,0.04,1.75,1.25,0.44,0.82,26.1,,1026.0,1029.0,-2.87,,,,,
120,CFRESH,120.0,i | 1 | 3,,2.18,-2.68,9587200.0,20592.0,2021.0,,0.72,2.14,,0.0,-4.28,-20.71,0.64,,32.16,,,,,,,,,
125,CHEWA,125.0,i | 1 | 2 | 3,,0.95,-1.04,2157400.0,2027.0,1211.0,6.87,0.64,2.59,0.02,0.14,0.42,9.78,4.81,2.18,25.85,,289.0,609.0,-0.14,,,,,
128,CHOTI,128.0,i | 1 | 3,,80.0,0.0,0.0,0.0,600.0,,0.79,0.46,,0.0,-13.39,-22.99,-13.13,,25.8,,,,,,,,,
130,CI,130.0,i | 1 | 3,,0.85,-7.61,1074500.0,942.0,907.0,,0.59,5.35,,0.0,-0.31,-15.52,-12.09,,29.4,,,,,,,,,
132,CIMBT,132.0,i | 1 | 3,,0.77,-2.53,1662400.0,1276.0,26813.0,48.57,0.65,8.8,0.01,0.02,1.02,1.34,9.72,0.63,5.17,,973.0,1006.0,0.01,,,,,
133,CITY,133.0,i | 1 | 3,,2.22,-0.89,82100.0,187.0,666.0,,0.51,0.02,,0.0,-1.67,-1.53,-5.05,,26.68,,,,,,,,,
135,CKP,135.0,i | 1 | 2 | 3,,5.9,0.0,71950200.0,431845.0,47963.0,55.85,2.03,1.35,0.04,0.11,2.84,3.73,11.18,0.59,24.22,,922.0,936.0,0.78,,,,,
140,CMR,140.0,i | 1 | 2 | 3,,3.1,-5.49,4811100.0,15198.0,12472.0,68.69,3.56,1.48,0.05,0.05,3.2,5.2,10.89,1.59,15.09,,895.0,940.0,-6.1,,,,,
141,CNT,141.0,i | 1 | 3,,1.89,0.0,405400.0,757.0,1943.0,26.99,0.93,2.05,0.05,0.07,1.6,3.45,0.43,2.65,27.53,,796.0,869.0,-0.71,,,,,
145,COTTO,145.0,i | 1 | 3,,2.68,-3.6,96219700.0,264176.0,15980.0,33.12,1.81,0.24,0.03,0.08,5.21,5.57,6.62,1.04,15.1,,780.0,739.0,0.04,,,,,
150,CPL,150.0,i | 1 | 2 | 3,,2.06,-0.96,118500.0,242.0,906.0,16.9,0.93,1.28,0.02,0.12,3.96,5.66,8.96,0.96,28.69,,613.0,633.0,-0.05,,,,,
152,CPR,152.0,i | 1 | 3,,4.38,-1.35,363600.0,1605.0,872.0,25.03,1.55,0.17,0.08,0.18,6.48,6.25,17.59,1.80,18.22,,686.0,589.0,-3.77,,,,,
154,CPW,154.0,i | 1 | 3,,3.78,3.28,15663200.0,58856.0,2268.0,33.28,3.15,0.76,0.08,0.11,8.19,9.69,2.41,2.19,31.55,,651.0,597.0,-1.13,,,,,
157,CRD,157.0,i | 1 | 2 | 3,,0.73,0.0,99400.0,72.0,365.0,,1.04,1.4,,0.0,-4.61,-9.86,1.47,,25.89,,,,,,,,,
159,CSP,159.0,i | 1 | 2 | 3,,1.98,-1.98,259900.0,517.0,982.0,3.94,1.37,2.56,,0.5,14.1,41.99,18.26,,19.7,,15.0,77.0,0.04,,,,,
160,CSR,160.0,i | 1 | 2 | 3,,63.0,0.0,0.0,0.0,1292.0,68.76,1.18,0.12,0.69,0.92,1.74,1.56,22.94,1.10,21.08,,1008.0,1021.0,-4.18,,,,,
162,CTW,162.0,i | 1 | 2 | 3,,7.7,-1.28,82200.0,642.0,3064.0,10.14,0.69,0.21,0.45,0.76,6.25,6.93,-2.89,5.77,25.95,,438.0,375.0,-0.3,,,,,
164,D,164.0,i | 1 | 2 | 3,,3.88,0.0,599100.0,2315.0,1117.0,531.97,2.35,1.35,0.01,0.01,1.39,0.44,-1.28,0.24,33.99,,1074.0,1077.0,-9.88,,,,,
166,DCON,166.0,i | 1 | 2 | 3,,0.5,-1.96,19513000.0,9763.0,2693.0,26.86,1.11,0.14,0.01,0.02,4.71,4.13,10.91,1.57,29.21,,773.0,712.0,-3.73,,,,,
167,DDD,167.0,i | 1 | 2 | 3,,17.6,-3.83,2883200.0,51342.0,5595.0,13.03,1.12,0.09,0.50,1.35,10.52,8.85,78.82,4.69,24.02,,444.0,305.0,-0.07,,,,,
168,DELTA,168.0,i | 1 | 2 | 3,,564.0,-0.35,727900.0,406627.0,703523.0,87.92,19.71,0.52,3.30,6.42,14.77,23.55,9.12,0.58,22.35,,566.0,566.0,6.0,,,,,
170,DHOUSE,170.0,i,,1.22,0.83,2637300.0,3198.0,1025.0,100.29,2.14,0.72,0.03,0.01,2.45,2.36,0.65,2.48,24.84,,1007.0,1006.0,,,,,,
172,DITTO,172.0,i,,16.1,-0.62,1274600.0,20493.0,0.0,,-,,-,0.0,23.25,43.21,16.02,-,31.08,,,,,,,,,
173,DMT,173.0,i | 1 | 3,,12.3,0.0,902700.0,11130.0,0.0,,-,,-,0.0,9.79,9.52,37.02,-,25.34,,,,,,,,,
175,DOHOME,175.0,i | 1 | 3,,25.75,-2.83,5503400.0,143148.0,62371.0,55.31,7.29,1.93,0.01,0.47,7.9,15.37,8.85,0.03,22.21,,612.0,689.0,345.69,,,,,
176,DRT,176.0,i | 1 | 2 | 3,,7.25,-2.68,2938400.0,21308.0,6199.0,10.6,2.91,0.76,0.22,0.68,20.6,25.66,14.72,5.64,34.59,,143.0,115.0,0.9,,,,,
177,DTAC,177.0,i | 1 | 2 | 3,,31.75,2.42,17459200.0,551269.0,75178.0,18.48,3.74,6.17,2.12,1.72,4.63,20.64,4.0,9.65,29.26,,329.0,627.0,-0.15,,,,,
179,DTCI,179.0,i | 1 | 3,,27.5,0.0,0.0,0.0,275.0,14.99,0.72,0.26,0.40,1.83,4.66,4.88,16.51,1.40,26.7,,611.0,577.0,0.36,,,,,
